Xp,Yp,Zp
32714483.195715617000000000,32714483.195715614000000000,3232204.055013014500000000
39768326.241782017000000000,39768326.241782010000000000,3929768.792454267400000000
57402933.856947996000000000,57402933.856947988000000000,5673680.636057399200000000
75037541.472113997000000000,75037541.472113982000000000,7417592.479660532400000000
145575971.932777970000000000,145575971.932777940000000000,14393239.854073063000000000
216114402.393441920000000000,216114402.393441890000000000,21368887.228485592000000000
251383617.623773900000000000,251383617.623773870000000000,24856710.915691856000000000
286652832.854105890000000000,286652832.854105890000000000,28344534.602898121000000000
357191263.314769860000000000,357191263.314769800000000000,35320181.977310650000000000
533537339.466429830000000000,533537339.466429710000000000,52759300.413341977000000000
709883415.618089680000000000,709883415.618089560000000000,70198418.849373296000000000
4493046.601370050600000000,4493046.601370049600000000,552192.675602044330000000
4493328.367780611900000000,4493328.367780610900000000,552227.537899143410000000
4493680.575793813000000000,4493680.575793812100000000,552271.115770517270000000
4500020.320031438000000000,4500020.320031437100000000,553055.517455246180000000
4528196.961087548200000000,4528196.961087547200000000,556541.747165152450000000
4563417.762407686600000000,4563417.762407685600000000,560899.534302535350000000
4633859.365047962400000000,4633859.365047961500000000,569615.108577301260000000
4704300.967688238200000000,4704300.967688237300000000,578330.682852067050000000
4774742.570328514100000000,4774742.570328513200000000,587046.257126832850000000
4845184.172968789900000000,4845184.172968789000000000,595761.831401598640000000
5021288.179569479100000000,5021288.179569478100000000,617550.767088513240000000
5197392.186170169200000000,5197392.186170168200000000,639339.702775427720000000
6254016.225774306800000000,6254016.225774305900000000,770073.316896915090000000
8015056.291781203800000000,8015056.291781202000000000,987962.673766060500000000
8719472.318183962300000000,8719472.318183960400000000,1075118.416513718700000000
9423888.344586720700000000,9423888.344586718800000000,1162274.159261376800000000
10128304.370989479000000000,10128304.370989477000000000,1249429.902009035000000000
10832720.397392239000000000,10832720.397392238000000000,1336585.644756693200000000
11537136.423794998000000000,11537136.423794996000000000,1423741.387504351300000000
15059216.555808790000000000,15059216.555808788000000000,1859520.101242642200000000
18581296.687822584000000000,18581296.687822584000000000,2295298.814980933000000000
22103376.819836378000000000,22103376.819836374000000000,2731077.528719224000000000
25625456.951850176000000000,25625456.951850168000000000,3166856.242457514200000000
29147537.083863966000000000,29147537.083863962000000000,3602634.956195805200000000
32669617.215877760000000000,32669617.215877756000000000,4038413.669934095800000000
39713777.479905345000000000,39713777.479905337000000000,4909971.097410677900000000
57324178.139974311000000000,57324178.139974304000000000,7088864.666102132800000000
74934578.800043285000000000,74934578.800043270000000000,9267758.234793586700000000
145376181.440319150000000000,145376181.440319150000000000,17983332.509559404000000000
215817784.080595050000000000,215817784.080595020000000000,26698906.784325216000000000
251038585.400732960000000000,251038585.400732930000000000,31056693.921708126000000000
286259386.720870910000000000,286259386.720870850000000000,35414481.059091032000000000
356700989.361146750000000000,356700989.361146690000000000,44130055.333856851000000000
532804995.961836400000000000,532804995.961836340000000000,65918991.020771399000000000
708909002.562526110000000000,708909002.562525990000000000,87707926.707685933000000000
4485551.910735882800000000,4485551.910735881900000000,662268.410438405580000000
4485833.204006384100000000,4485833.204006383200000000,662310.221823712690000000
4486184.820594511000000000,4486184.820594510100000000,662362.486055346440000000
4492513.919180791800000000,4492513.919180790900000000,663303.242224755350000000
4520643.246230927300000000,4520643.246230926400000000,667484.380755461520000000
4555804.905043598300000000,4555804.905043597300000000,672710.803918844210000000
4626128.222668938300000000,4626128.222668937400000000,683163.650245609460000000
4696451.540294278400000000,4696451.540294277500000000,693616.496572374830000000
4766774.857919619400000000,4766774.857919618500000000,704069.342899140200000000
4837098.175544959500000000,4837098.175544958600000000,714522.189225905570000000
5012906.469608310600000000,5012906.469608309700000000,740654.305042818890000000
5188714.763671661700000000,5188714.763671660800000000,766786.420859732320000000
6243564.528051768400000000,6243564.528051767500000000,923579.115761212540000000
8001647.468685277700000000,8001647.468685276800000000,1184900.273930346100000000
8704880.644938683100000000,8704880.644938681300000000,1289428.737197999600000000
9408113.821192085700000000,9408113.821192085700000000,1393957.200465653100000000
10111346.997445490000000000,10111346.997445488000000000,1498485.663733306600000000
10814580.173698895000000000,10814580.173698893000000000,1603014.127000960100000000
11517813.349952299000000000,11517813.349952297000000000,1707542.590268613500000000
15033979.231219321000000000,15033979.231219320000000000,2230184.906606880900000000
18550145.112486344000000000,18550145.112486340000000000,2752827.222945148100000000
22066310.993753359000000000,22066310.993753355000000000,3275469.539283415300000000
25582476.875020381000000000,25582476.875020377000000000,3798111.855621682000000000
29098642.756287403000000000,29098642.756287400000000000,4320754.171959949700000000
32614808.637554426000000000,32614808.637554422000000000,4843396.488298216800000000
39647140.400088467000000000,39647140.400088459000000000,5888681.120974751200000000
57227969.806423575000000000,57227969.806423567000000000,8501892.702666088900000000
74808799.212758675000000000,74808799.212758660000000000,11115104.284357425000000000
145132116.838099090000000000,145132116.838099060000000000,21567950.611122772000000000
215455434.463439520000000000,215455434.463439490000000000,32020796.937888116000000000
