Xp,Yp,Zp
5971905.556467318000000000,5971905.556467317000000000,2730926.959880495900000000
7653151.836377210900000000,7653151.836377210000000000,3503469.445817864500000000
8325650.348341168800000000,8325650.348341167000000000,3812486.440192811700000000
8998148.860305126800000000,8998148.860305124900000000,4121503.434567759300000000
9670647.372269082800000000,9670647.372269082800000000,4430520.428942706400000000
10343145.884233039000000000,10343145.884233039000000000,4739537.423317654100000000
11015644.396196997000000000,11015644.396196995000000000,5048554.417692601700000000
14378136.956016785000000000,14378136.956016783000000000,6593639.389567338900000000
17740629.515836570000000000,17740629.515836570000000000,8138724.361442075100000000
21103122.075656358000000000,21103122.075656354000000000,9683809.333316812300000000
24465614.635476142000000000,24465614.635476138000000000,11228894.305191550000000000
27828107.195295934000000000,27828107.195295930000000000,12773979.277066287000000000
31190599.755115718000000000,31190599.755115714000000000,14319064.248941025000000000
37915584.874755293000000000,37915584.874755286000000000,17409234.192690499000000000
54728047.673854224000000000,54728047.673854217000000000,25134659.052064184000000000
71540510.472953156000000000,71540510.472953141000000000,32860083.911437869000000000
138790361.669348900000000000,138790361.669348870000000000,63761783.348932609000000000
206040212.865744590000000000,206040212.865744560000000000,94663482.786427349000000000
239665138.463942500000000000,239665138.463942440000000000,110114332.505174710000000000
273290064.062140350000000000,273290064.062140290000000000,125565182.223922090000000000
340539915.258536040000000000,340539915.258536040000000000,156466881.661416830000000000
508664543.249525430000000000,508664543.249525310000000000,233721130.255153660000000000
676789171.240514760000000000,676789171.240514640000000000,310975378.848890480000000000
4265891.970506231300000000,4265891.970506230400000000,2063382.019851792600000000
4266159.403544848800000000,4266159.403544847900000000,2063512.247113575500000000
4266493.694843120900000000,4266493.694843119900000000,2063675.031190804000000000
4272510.938212017500000000,4272510.938212016600000000,2066605.144580918400000000
4299254.242073782700000000,4299254.242073781800000000,2079627.870759204700000000
4332683.371900988700000000,4332683.371900987800000000,2095906.278482062500000000
4399541.631555400800000000,4399541.631555399900000000,2128463.093927778300000000
4466399.891209812800000000,4466399.891209812800000000,2161019.909373493900000000
4533258.150864225800000000,4533258.150864224900000000,2193576.724819209400000000
4600116.410518637900000000,4600116.410518636900000000,2226133.540264925500000000
4767262.059654668000000000,4767262.059654667000000000,2307525.578879214400000000
4934407.708790698100000000,4934407.708790698100000000,2388917.617493503700000000
5937281.603606882500000000,5937281.603606881600000000,2877269.849179238500000000
7608738.094967188300000000,7608738.094967186500000000,3691190.235322129900000000
8277320.691511309700000000,8277320.691511308800000000,4016758.389779286900000000
8945903.288055433000000000,8945903.288055431100000000,4342326.544236443900000000
9614485.884599555300000000,9614485.884599553400000000,4667894.698693600500000000
10283068.481143678000000000,10283068.481143676000000000,4993462.853150757000000000
10951651.077687800000000000,10951651.077687798000000000,5319031.007607913600000000
14294564.060408412000000000,14294564.060408410000000000,6946871.779893697200000000
17637477.043129023000000000,17637477.043129019000000000,8574712.552179480000000000
20980390.025849633000000000,20980390.025849629000000000,10202553.324465264000000000
24323303.008570246000000000,24323303.008570243000000000,11830394.096751047000000000
27666215.991290860000000000,27666215.991290852000000000,13458234.869036831000000000
31009128.974011466000000000,31009128.974011462000000000,15086075.641322615000000000
37694954.939452693000000000,37694954.939452685000000000,18341757.185894180000000000
54409519.853055738000000000,54409519.853055730000000000,26480961.047323100000000000
71124084.766658798000000000,71124084.766658783000000000,34620164.908752017000000000
137982344.421071020000000000,137982344.421070990000000000,67176980.354467690000000000
204840604.075483230000000000,204840604.075483200000000000,99733795.800183356000000000
238269733.902689370000000000,238269733.902689340000000000,116012203.523041200000000000
271698863.729895470000000000,271698863.729895410000000000,132290611.245899040000000000
338557123.384307680000000000,338557123.384307680000000000,164847426.691614690000000000
505702772.520338360000000000,505702772.520338300000000000,246239465.305903850000000000
672848421.656368850000000000,672848421.656368730000000000,327631503.920193020000000000
4239763.012240572800000000,4239763.012240572800000000,2167730.989843090100000000
4240028.797450328200000000,4240028.797450328200000000,2167867.797900420100000000
4240361.028962522700000000,4240361.028962522700000000,2168038.807972082900000000
4246341.196182020900000000,4246341.196182020000000000,2171116.989262014200000000
4272919.717157567900000000,4272919.717157566900000000,2184797.794995040600000000
4306142.868377002000000000,4306142.868377001000000000,2201898.802161324300000000
4372589.170815869200000000,4372589.170815868300000000,2236100.816493891200000000
4439035.473254737400000000,4439035.473254736500000000,2270302.830826458100000000
4505481.775693604700000000,4505481.775693603800000000,2304504.845159024900000000
4571928.078132472000000000,4571928.078132471100000000,2338706.859491591800000000
4738043.834229640700000000,4738043.834229639700000000,2424211.895323008800000000
4904159.590326809300000000,4904159.590326808400000000,2509716.931154426200000000
5900854.126909821300000000,5900854.126909820400000000,3022747.146142929300000000
7562011.687881508800000000,7562011.687881507900000000,3877797.504457100800000000
8226474.712270182600000000,8226474.712270181600000000,4219817.647782770000000000
8890937.736658858100000000,8890937.736658856300000000,4561837.791108438700000000
9555400.761047532800000000,9555400.761047530900000000,4903857.934434107500000000
10219863.785436206000000000,10219863.785436204000000000,5245878.077759775300000000
10884326.809824882000000000,10884326.809824880000000000,5587898.221085444100000000
14206641.931768257000000000,14206641.931768253000000000,7297998.937713787900000000
17528957.053711630000000000,17528957.053711627000000000,9008099.654342131700000000
20851272.175655004000000000,20851272.175655000000000000,10718200.370970475000000000
24173587.297598377000000000,24173587.297598369000000000,12428301.087598819000000000
27495902.419541750000000000,27495902.419541746000000000,14138401.804227164000000000
30818217.541485123000000000,30818217.541485120000000000,15848502.520855507000000000
37462847.785371870000000000,37462847.785371862000000000,19268703.954112194000000000
54074423.395088747000000000,54074423.395088740000000000,27819207.537253913000000000
70685999.004805610000000000,70685999.004805610000000000,36369711.120395631000000000
137132301.443673070000000000,137132301.443673070000000000,70571725.452962503000000000
203578603.882540580000000000,203578603.882540550000000000,104773739.785529360000000000
236801755.101974280000000000,236801755.101974250000000000,121874746.951812800000000000
270024906.321408030000000000,270024906.321407970000000000,138975754.118096230000000000
336471208.760275540000000000,336471208.760275480000000000,173177768.450663120000000000
502586964.857444170000000000,502586964.857444110000000000,258682804.282080320000000000
668702720.954612970000000000,668702720.954612850000000000,344187840.113497500000000000
4212347.201760768900000000,4212347.201760768000000000,2271430.856004709400000000
4212611.258180912600000000,4212611.258180911700000000,2271574.203184527300000000
4212941.328706092200000000,4212941.328706091300000000,2271753.387159300000000000
4218882.598159324400000000,4218882.598159324400000000,2274978.698705207600000000
4245288.240173692800000000,4245288.240173691900000000,2289313.416687019600000000
4278295.292691652700000000,4278295.292691651700000000,2307231.814164284600000000
4344309.397727573300000000,4344309.397727572400000000,2343068.609118814600000000
4410323.502763493000000000,4410323.502763492100000000,2378905.404073344500000000
4476337.607799412700000000,4476337.607799411800000000,2414742.199027875000000000
4542351.712835333300000000,4542351.712835332400000000,2450578.993982404900000000
4707386.975425132600000000,4707386.975425132600000000,2540170.981368729800000000
4872422.238014932700000000,4872422.238014932700000000,2629762.968755054800000000
5862633.813553733800000000,5862633.813553732800000000,3167314.893073005600000000
7512986.439451735500000000,7512986.439451734500000000,4063234.766936256600000000
8173127.489810936200000000,8173127.489810935200000000,4421602.716481556200000000
8833268.540170136800000000,8833268.540170136800000000,4779970.666026856800000000
9493409.590529337500000000,9493409.590529337500000000,5138338.615572157300000000
10153550.640888538000000000,10153550.640888536000000000,5496706.565117457900000000
10813691.691247739000000000,10813691.691247737000000000,5855074.514662757500000000
14114396.943043742000000000,14114396.943043740000000000,7646914.262389259400000000
17415102.194839746000000000,17415102.194839742000000000,9438754.010115761300000000
20715807.446635749000000000,20715807.446635745000000000,11230593.757842261000000000
24016512.698431749000000000,24016512.698431745000000000,13022433.505568761000000000
27317217.950227752000000000,27317217.950227749000000000,14814273.253295263000000000
30617923.202023756000000000,30617923.202023752000000000,16606113.001021765000000000
37219333.705615759000000000,37219333.705615751000000000,20189792.496474769000000000
53722859.964595780000000000,53722859.964595772000000000,29148991.235107273000000000
70226386.223575801000000000,70226386.223575786000000000,38108189.973739780000000000
136240491.259495850000000000,136240491.259495820000000000,73944984.928269804000000000
202254596.295415910000000000,202254596.295415880000000000,109781779.882799850000000000
235261648.813375920000000000,235261648.813375890000000000,127700177.360064860000000000
268268701.331335960000000000,268268701.331335930000000000,145618574.837329860000000000
334282806.367256050000000000,334282806.367255990000000000,181455369.791859890000000000
499318068.957056220000000000,499318068.957056160000000000,271047357.178184930000000000
664353331.546856400000000000,664353331.546856280000000000,360639344.564509990000000000
4183652.468510082000000000,4183652.468510081100000000,2374450.355962158200000000
4183914.715706470000000000,4183914.715706469000000000,2374600.198599524300000000
4184242.524701955300000000,4184242.524701954800000000,2374787.501896232400000000
4190143.086620693100000000,4190143.086620692200000000,2378158.961236975600000000
4216367.806259527800000000,4216367.806259526900000000,2393143.224973612000000000
4249148.705808069600000000,4249148.705808069600000000,2411873.554644407700000000
4314710.504905155900000000,4314710.504905155900000000,2449334.213985999100000000
4380272.304002241200000000,4380272.304002241200000000,2486794.873327590100000000
4445834.103099327500000000,4445834.103099326600000000,2524255.532669181500000000
4511395.902196412900000000,4511395.902196412900000000,2561716.192010772400000000
4675300.399939127300000000,4675300.399939126300000000,2655367.840364750500000000
4839204.897681841600000000,4839204.897681840700000000,2749019.488718728500000000
5822631.884138127800000000,5822631.884138126900000000,3310929.378842596900000000
7461676.861565269500000000,7461676.861565268600000000,4247445.862382376600000000
8117294.852536127900000000,8117294.852536126000000000,4622052.455798288800000000
8772912.843506984400000000,8772912.843506982600000000,4996659.049214201000000000
9428530.834477840000000000,9428530.834477838100000000,5371265.642630113300000000
10084148.825448699000000000,10084148.825448697000000000,5745872.236046024600000000
10739766.816419555000000000,10739766.816419555000000000,6120478.829461936800000000
14017856.771273840000000000,14017856.771273838000000000,7993511.796541497100000000
17295946.726128124000000000,17295946.726128124000000000,9866544.763621056500000000
20574036.680982411000000000,20574036.680982411000000000,11739577.730700618000000000
23852126.635836698000000000,23852126.635836694000000000,13612610.697780175000000000
27130216.590690982000000000,27130216.590690978000000000,15485643.664859736000000000
30408306.545545265000000000,30408306.545545261000000000,17358676.631939296000000000
36964486.455253839000000000,36964486.455253832000000000,21104742.566098414000000000
53354936.229525276000000000,53354936.229525268000000000,30469907.401496217000000000
69745386.003796697000000000,69745386.003796697000000000,39835072.236894019000000000
135307185.100882410000000000,135307185.100882410000000000,77295731.578485221000000000
200868984.197968130000000000,200868984.197968070000000000,114756390.920076410000000000
233649883.746510980000000000,233649883.746510920000000000,133486720.590872020000000000
266430783.295053840000000000,266430783.295053780000000000,152217050.261667610000000000
331992582.392139550000000000,331992582.392139490000000000,189677709.603258820000000000
495897080.134853840000000000,495897080.134853720000000000,283329357.957236830000000000
659801577.877568130000000000,659801577.877568010000000000,376981006.311214800000000000
4153687.119951960200000000,4153687.119951959700000000,2476758.403204200800000000
4153947.478041556200000000,4153947.478041555700000000,2476914.695655596400000000
4154272.925653552200000000,4154272.925653551700000000,2477110.061219841200000000
4160130.982669474600000000,4160130.982669473600000000,2480626.641376244400000000
4186166.791629128600000000,4186166.791629127700000000,2496255.886515815300000000
4218711.552828695600000000,4218711.552828695600000000,2515792.442940279400000000
4283801.075227830600000000,4283801.075227829600000000,2554865.555789206600000000
4348890.597626965500000000,4348890.597626965500000000,2593938.668638133900000000
4413980.120026100400000000,4413980.120026099500000000,2633011.781487061200000000
4479069.642425235400000000,4479069.642425235400000000,2672084.894335988400000000
4641793.448423072700000000,4641793.448423072700000000,2769767.676458307100000000
4804517.254420911000000000,4804517.254420910000000000,2867450.458580625700000000
5780860.090407935000000000,5780860.090407934000000000,3453547.151314536600000000
7408098.150386310200000000,7408098.150386309300000000,4430374.972537720600000000
8058993.374377660500000000,8058993.374377658600000000,4821106.101026994200000000
8709888.598369009800000000,8709888.598369007900000000,5211837.229516267800000000
9360783.822360359100000000,9360783.822360359100000000,5602568.358005542300000000
10011679.046351710000000000,10011679.046351708000000000,5993299.486494815900000000
10662574.270343060000000000,10662574.270343058000000000,6384030.614984089500000000
13917050.390299808000000000,13917050.390299806000000000,8337686.257430457500000000
17171526.510256559000000000,17171526.510256555000000000,10291341.899876827000000000
20426002.630213305000000000,20426002.630213302000000000,12244997.542323194000000000
23680478.750170056000000000,23680478.750170052000000000,14198653.184769563000000000
26934954.870126802000000000,26934954.870126795000000000,16152308.827215932000000000
30189430.990083553000000000,30189430.990083549000000000,18105964.469662301000000000
36698383.229997054000000000,36698383.229997046000000000,22013275.754555039000000000
52970763.829780795000000000,52970763.829780787000000000,31781553.966786876000000000
69243144.429564536000000000,69243144.429564536000000000,41549832.179018721000000000
134332666.828699500000000000,134332666.828699500000000000,80622945.027946100000000000
199422189.227834490000000000,199422189.227834460000000000,119696057.876873460000000000
231966950.427401990000000000,231966950.427401960000000000,139232614.301337150000000000
264511711.626969490000000000,264511711.626969460000000000,158769170.725800840000000000
329601234.026104450000000000,329601234.026104450000000000,197842283.574728220000000000
492325040.023941870000000000,492325040.023941810000000000,295525065.697046640000000000
655048846.021779300000000000,655048846.021779180000000000,393207847.819365020000000000
4122459.840212901100000000,4122459.840212900700000000,2578324.095739560200000000
4122718.229888109500000000,4122718.229888108600000000,2578486.790396790500000000
4123041.216982120200000000,4123041.216982119300000000,2578690.158718328500000000
4128854.984674311200000000,4128854.984674310800000000,2582350.788506010500000000
4154693.952195161500000000,4154693.952195160600000000,2598620.254229042700000000
4186992.661596223700000000,4186992.661596223200000000,2618957.086382832800000000
4251590.080398349100000000,4251590.080398348200000000,2659630.750690412700000000
4316187.499200473500000000,4316187.499200473500000000,2700304.414997993000000000
4380784.918002598900000000,4380784.918002598000000000,2740978.079305572900000000
4445382.336804724300000000,4445382.336804724300000000,2781651.743613152800000000
4606875.883810036800000000,4606875.883810036800000000,2883335.904382102700000000
4768369.430815350300000000,4768369.430815349300000000,2985020.065151053000000000
5737330.712847226300000000,5737330.712847226300000000,3595125.029764752800000000
7352266.182900354300000000,7352266.182900352400000000,4611966.637454252700000000
7998240.370921604300000000,7998240.370921603400000000,5018703.280530053200000000
8644214.558942856300000000,8644214.558942854400000000,5425439.923605853700000000
9290188.746964108200000000,9290188.746964106300000000,5832176.566681653300000000
9936162.934985358300000000,9936162.934985356400000000,6238913.209757453800000000
10582137.123006608000000000,10582137.123006606000000000,6645649.852833254300000000
13812008.063112862000000000,13812008.063112861000000000,8679333.068212254000000000
17041879.003219120000000000,17041879.003219116000000000,10713016.283591256000000000
20271749.943325374000000000,20271749.943325371000000000,12746699.498970257000000000
23501620.883431628000000000,23501620.883431625000000000,14780382.714349259000000000
26731491.823537886000000000,26731491.823537882000000000,16814065.929728258000000000
29961362.763644140000000000,29961362.763644133000000000,18847749.145107262000000000
36421104.643856645000000000,36421104.643856645000000000,22915115.575865261000000000
52570459.344387934000000000,52570459.344387926000000000,33083531.652760264000000000
68719814.044919208000000000,68719814.044919193000000000,43251947.729655266000000000
133317232.847044300000000000,133317232.847044290000000000,83925612.037235275000000000
197914651.649169420000000000,197914651.649169390000000000,124599276.344815310000000000
230213361.050231960000000000,230213361.050231930000000000,144936108.498605310000000000
262512070.451294510000000000,262512070.451294450000000000,165272940.652395340000000000
327109489.253419640000000000,327109489.253419580000000000,205946604.959975330000000000
488603036.258732380000000000,488603036.258732320000000000,307630765.728925350000000000
650096583.264045120000000000,650096583.264045000000000000,409314926.497875390000000000
4089979.688639466700000000,4089979.688639466200000000,2679116.724783961700000000
4090236.031192289200000000,4090236.031192288300000000,2679285.772088657600000000
4090556.459383316800000000,4090556.459383316300000000,2679497.081219528300000000
4096324.166821818800000000,4096324.166821818300000000,2683300.645575194600000000
4121958.422104050900000000,4121958.422104049900000000,2700205.376044822400000000
4154001.241206840100000000,4154001.241206839700000000,2721336.289131857500000000
4218086.879412419200000000,4218086.879412418200000000,2763598.115305927100000000
4282172.517617997700000000,4282172.517617996800000000,2805859.941479997200000000
4346258.155823576300000000,4346258.155823575300000000,2848121.767654067400000000
4410343.794029155700000000,4410343.794029154800000000,2890383.593828137000000000
4570557.889543102100000000,4570557.889543102100000000,2996038.159263311900000000
4730771.985057049400000000,4730771.985057048500000000,3101692.724698486700000000
5692056.558140732300000000,5692056.558140731400000000,3735620.117309535900000000
7294197.513280203600000000,7294197.513280202600000000,4792165.771661284400000000
7935053.895335992800000000,7935053.895335990900000000,5214784.033401983800000000
8575910.277391780200000000,8575910.277391780200000000,5637402.295142683200000000
9216766.659447569400000000,9216766.659447567500000000,6060020.556883382600000000
9857623.041503358600000000,9857623.041503358600000000,6482638.818624082000000000
10498479.423559146000000000,10498479.423559144000000000,6905257.080364781400000000
13702761.333838088000000000,13702761.333838087000000000,9018348.389068279400000000
16907043.244117029000000000,16907043.244117029000000000,11131439.697771776000000000
20111325.154395975000000000,20111325.154395971000000000,13244531.006475274000000000
23315607.064674918000000000,23315607.064674914000000000,15357622.315178771000000000
26519888.974953864000000000,26519888.974953860000000000,17470713.623882268000000000
29724170.885232802000000000,29724170.885232799000000000,19583804.932585765000000000
36132734.705790684000000000,36132734.705790684000000000,23809987.549992759000000000
52154144.257185414000000000,52154144.257185400000000000,34375444.093510248000000000
68175553.808580115000000000,68175553.808580115000000000,44940900.637027733000000000
132261192.014158960000000000,132261192.014158950000000000,87202726.811097682000000000
196346830.219737830000000000,196346830.219737800000000000,129464552.985167620000000000
228389649.322527290000000000,228389649.322527230000000000,150595466.072202590000000000
260432468.425316660000000000,260432468.425316630000000000,171726379.159237560000000000
324518106.630895560000000000,324518106.630895500000000000,213988205.333307500000000000
484732202.144842620000000000,484732202.144842570000000000,319642770.768482330000000000
644946297.658789870000000000,644946297.658789750000000000,425297336.203657210000000000
4056256.098266673700000000,4056256.098266673300000000,2779105.783476912900000000
4056510.315612685400000000,4056510.315612684900000000,2779281.131935628600000000
4056828.087295199700000000,4056828.087295199300000000,2779500.317509023000000000
4062547.977580453700000000,4062547.977580452800000000,2783445.657830124700000000
4087969.712181582600000000,4087969.712181582100000000,2800980.503701687800000000
4119746.880432995000000000,4119746.880432994600000000,2822899.061041141900000000
4183301.216935819000000000,4183301.216935818100000000,2866736.175720049500000000
4246855.553438642100000000,4246855.553438641100000000,2910573.290398957200000000
4310409.889941466000000000,4310409.889941465100000000,2954410.405077864900000000
4373964.226444290000000000,4373964.226444289100000000,2998247.519756772600000000
4532850.067701349000000000,4532850.067701348100000000,3107840.306454042000000000
4691735.908958408100000000,4691735.908958407100000000,3217433.093151311400000000
5645050.956500763100000000,5645050.956500762100000000,3874989.813334927000000000
7233909.369071356000000000,7233909.369071354200000000,4970917.680307620200000000
7869452.734099592100000000,7869452.734099591200000000,5409288.827096697900000000
8504996.099127829100000000,8504996.099127827200000000,5847659.973885775500000000
9140539.464156065100000000,9140539.464156065100000000,6286031.120674853200000000
9776082.829184303100000000,9776082.829184301200000000,6724402.267463930000000000
10411626.194212539000000000,10411626.194212537000000000,7162773.414253007600000000
13589343.019353723000000000,13589343.019353721000000000,9354629.148198394100000000
16767059.844494907000000000,16767059.844494905000000000,11546484.882143782000000000
19944776.669636089000000000,19944776.669636089000000000,13738340.616089169000000000
23122493.494777273000000000,23122493.494777270000000000,15930196.350034555000000000
26300210.319918457000000000,26300210.319918454000000000,18122052.083979942000000000
29477927.145059641000000000,29477927.145059638000000000,20313907.817925330000000000
35833360.795342013000000000,35833360.795342006000000000,24697619.285816103000000000
51721944.921047933000000000,51721944.921047918000000000,35656897.955543041000000000
67610529.046753839000000000,67610529.046753839000000000,46616176.625269972000000000
131164865.549577530000000000,131164865.549577500000000000,90453291.304177716000000000
194719202.052401210000000000,194719202.052401190000000000,134290405.983085450000000000
226496370.303813040000000000,226496370.303813010000000000,156208963.322539330000000000
258273538.555224870000000000,258273538.555224840000000000,178127520.661993210000000000
321827875.058048550000000000,321827875.058048490000000000,221964635.340900930000000000
480713716.315107760000000000,480713716.315107640000000000,331557422.038170340000000000
639599557.572166920000000000,639599557.572166920000000000,441150208.735439660000000000
4021298.874194975500000000,4021298.874194975000000000,2878260.975627401400000000
4021550.888897109800000000,4021550.888897108800000000,2878442.571827297100000000
4021865.907274777100000000,4021865.907274776600000000,2878669.567077166900000000
4027536.238072792500000000,4027536.238072791600000000,2882755.481574823100000000
4052737.708286194600000000,4052737.708286194100000000,2900915.101564405000000000
4084239.546052947200000000,4084239.546052946700000000,2923614.626551382200000000
4147243.221586452300000000,4147243.221586451900000000,2969013.676525336700000000
4210246.897119957000000000,4210246.897119956100000000,3014412.726499291600000000
4273250.572653462200000000,4273250.572653461200000000,3059811.776473246000000000
4336254.248186967300000000,4336254.248186966400000000,3105210.826447201000000000
4493763.437020730200000000,4493763.437020729300000000,3218708.451382087500000000
4651272.625854492200000000,4651272.625854491300000000,3332206.076316974100000000
5596327.758857067700000000,5596327.758857066700000000,4013191.825926294100000000
7171419.647194694700000000,7171419.647194693800000000,5148168.075275161300000000
7801456.402529746300000000,7801456.402529745400000000,5602158.575014707600000000
8431493.157864796000000000,8431493.157864794100000000,6056149.074754254000000000
9061529.913199847600000000,9061529.913199845700000000,6510139.574493801200000000
9691566.668534895400000000,9691566.668534895400000000,6964130.074233347600000000
10321603.423869949000000000,10321603.423869947000000000,7418120.573972894800000000
13471787.200545201000000000,13471787.200545199000000000,9688073.072670629200000000
16621970.977220451000000000,16621970.977220450000000000,11958025.571368363000000000
19772154.753895704000000000,19772154.753895704000000000,14227978.070066096000000000
22922338.530570958000000000,22922338.530570954000000000,16497930.568763830000000000
26072522.307246216000000000,26072522.307246212000000000,18767883.067461565000000000
29222706.083921462000000000,29222706.083921459000000000,21037835.566159297000000000
35523073.637271971000000000,35523073.637271963000000000,25577740.563554764000000000
51273992.520648241000000000,51273992.520648234000000000,36927503.057043433000000000
67024911.404024504000000000,67024911.404024489000000000,48277265.550532103000000000
130028586.937529550000000000,130028586.937529520000000000,93676315.524486780000000000
193032262.471034650000000000,193032262.471034620000000000,139075365.498441460000000000
224534100.237787190000000000,224534100.237787130000000000,161774890.485418800000000000
256035938.004539670000000000,256035938.004539640000000000,184474415.472396140000000000
319039613.538044750000000000,319039613.538044690000000000,229873465.446350810000000000
476548802.371807340000000000,476548802.371807280000000000,343371090.381237450000000000
634057991.205569980000000000,634057991.205569860000000000,456868715.316124140000000000
3985118.191872988800000000,3985118.191872988400000000,2976552.224487399200000000
3985367.927165126000000000,3985367.927165125500000000,2976740.013112513300000000
3985680.096280298200000000,3985680.096280297300000000,2976974.748893906400000000
3991299.140353384000000000,3991299.140353383500000000,2981199.992958979700000000
4016272.669567099300000000,4016272.669567098800000000,2999978.855470415200000000
4047489.581084243500000000,4047489.581084242600000000,3023452.433609709600000000
4109923.404118532300000000,4109923.404118531800000000,3070399.589888298900000000
4172357.227152820700000000,4172357.227152820200000000,3117346.746166887700000000
4234791.050187109000000000,4234791.050187108100000000,3164293.902445477000000000
4297224.873221398300000000,4297224.873221397400000000,3211241.058724065800000000
4453309.430807119200000000,4453309.430807118300000000,3328608.949420538700000000
4609393.988392841100000000,4609393.988392841100000000,3445976.840117011200000000
5545901.333907170200000000,5545901.333907169300000000,4150184.184295847100000000
7106746.909764385800000000,7106746.909764384900000000,5323863.091260573800000000
7731085.140107272200000000,7731085.140107271300000000,5793334.654046464700000000
8355423.370450157700000000,8355423.370450155800000000,6262806.216832355600000000
8979761.600793045000000000,8979761.600793043200000000,6732277.779618246500000000
9604099.831135930500000000,9604099.831135928600000000,7201749.342404137400000000
10228438.061478816000000000,10228438.061478814000000000,7671220.905190028300000000
13350129.213193245000000000,13350129.213193243000000000,10018578.719119482000000000
16471820.364907676000000000,16471820.364907674000000000,12365936.533048937000000000
19593511.516622107000000000,19593511.516622104000000000,14713294.346978391000000000
22715202.668336537000000000,22715202.668336533000000000,17060652.160907846000000000
25836893.820050970000000000,25836893.820050966000000000,19408009.974837299000000000
28958584.971765399000000000,28958584.971765395000000000,21755367.788766753000000000
35201967.275194265000000000,35201967.275194257000000000,26450083.416625660000000000
50810423.033766419000000000,50810423.033766411000000000,38186872.486272931000000000
66418878.792338572000000000,66418878.792338558000000000,49923661.555920199000000000
128852701.826627180000000000,128852701.826627170000000000,96870817.834509283000000000
191286524.860915810000000000,191286524.860915780000000000,143817974.113098350000000000
222503436.378060130000000000,222503436.378060070000000000,167291552.252392890000000000
253720347.895204420000000000,253720347.895204400000000000,190765130.391687450000000000
316154170.929493070000000000,316154170.929493010000000000,237712286.670276520000000000
472238728.515214560000000000,472238728.515214500000000000,355080177.366749230000000000
628323286.100936170000000000,628323286.100936060000000000,472448068.063221930000000000
3947724.595283104600000000,3947724.595283104100000000,3073949.681551861600000000
3947971.975093455500000000,3947971.975093455100000000,3074143.605399960200000000
3948281.199856394400000000,3948281.199856393500000000,3074386.010210083300000000
3953847.245589293500000000,3953847.245589292600000000,3078749.296792300400000000
3978585.226624399900000000,3978585.226624399000000000,3098141.681602153900000000
4009507.702918282700000000,4009507.702918281800000000,3122382.162614470800000000
4071352.655506048400000000,4071352.655506047900000000,3170863.124639104600000000
4133197.608093814500000000,4133197.608093813500000000,3219344.086663738400000000
4195042.560681580600000000,4195042.560681579600000000,3267825.048688371700000000
4256887.513269346200000000,4256887.513269345300000000,3316306.010713005400000000
4411499.894738761700000000,4411499.894738760800000000,3437508.415774589900000000
4566112.276208176300000000,4566112.276208175300000000,3558710.820836174300000000
5493786.565024663700000000,5493786.565024662800000000,4285925.251205679000000000
7039910.379718812200000000,7039910.379718810300000000,5497949.301821521500000000
7658359.905596471400000000,7658359.905596470500000000,5982758.922067859200000000
8276809.431474130600000000,8276809.431474128700000000,6467568.542314196000000000
8895258.957351788900000000,8895258.957351787000000000,6952378.162560532800000000
9513708.483229447200000000,9513708.483229445300000000,7437187.782806870500000000
10132158.009107105000000000,10132158.009107105000000000,7921997.403053207300000000
13224405.638495402000000000,13224405.638495401000000000,10346045.504284892000000000
16316653.267883698000000000,16316653.267883696000000000,12770093.605516577000000000
19408900.897271995000000000,19408900.897271991000000000,15194141.706748264000000000
22501148.526660290000000000,22501148.526660286000000000,17618189.807979949000000000
25593396.156048581000000000,25593396.156048577000000000,20042237.909211636000000000
28685643.785436880000000000,28685643.785436872000000000,22466286.010443322000000000
34870139.044213466000000000,34870139.044213466000000000,27314382.212906692000000000
50331377.191154949000000000,50331377.191154934000000000,39434622.719065115000000000
65792615.338096417000000000,65792615.338096410000000000,51554863.225223541000000000
127637567.925862330000000000,127637567.925862310000000000,100035825.249857250000000000
189482520.513628240000000000,189482520.513628210000000000,148516787.274490950000000000
220404996.807511210000000000,220404996.807511150000000000,172757268.286807810000000000
251327473.101394150000000000,251327473.101394120000000000,196997749.299124660000000000
313172425.689160050000000000,313172425.689159990000000000,245478711.323758360000000000
467784807.158574760000000000,467784807.158574700000000000,366681116.385342660000000000
622397188.627989530000000000,622397188.627989410000000000,487883521.446926890000000000
3909128.995027087200000000,3909128.995027086700000000,3170423.735383636800000000
3909373.944001365500000000,3909373.944001365000000000,3170623.735383636800000000
3909680.130219213700000000,3909680.130219213200000000,3170873.735383636800000000
3915191.482140475400000000,3915191.482140475000000000,3175373.735383636800000000
3939686.379568307700000000,3939686.379568306700000000,3195373.735383636800000000
3970305.001353097100000000,3970305.001353096700000000,3220373.735383636800000000
4031542.244922676600000000,4031542.244922676100000000,3270373.735383636800000000
4092779.488492256000000000,4092779.488492255600000000,3320373.735383636800000000
4154016.732061835500000000,4154016.732061835000000000,3370373.735383636800000000
4215253.975631414900000000,4215253.975631414900000000,3420373.735383636800000000
4368347.084555364200000000,4368347.084555363300000000,3545373.735383636800000000
4521440.193479312600000000,4521440.193479311700000000,3670373.735383636800000000
5439998.847023003700000000,5439998.847023002800000000,4420373.735383636300000000
6970929.936262491200000000,6970929.936262490200000000,5670373.735383636300000000
7583302.371958284600000000,7583302.371958283700000000,6170373.735383636300000000
