ID ,fi_org,h_org,fi_Tri,h_Tri,fi_Halley, h_Halley
393,11,300000,2.55795E-05,-0.116415322,-9.59233E-05,-0.931322575
394,11,400000,-5.11591E-05,0.058207661,-0.000217426,-1.28056854
395,11,500000,0,0.407453626,-0.000396483,-0.465661287
396,11,750000,-1.27898E-05,-1.746229827,-0.001170264,-0.116415322
397,11,1000000,6.39488E-06,-0.349245965,-0.002455636,0.931322575
398,11,2500000,-0.000223821,-1.862645149,-0.018167867,-0.931322575
399,11,5000000,-0.000863309,-0.931322575,-0.053838534,0.931322575
400,11,6000000,-0.00108713,1.862645149,-0.066417272,2.793967724
401,11,7000000,-0.001266187,0,-0.077262996,0.931322575
402,11,8000000,-0.001394085,0,-0.086433261,0.931322575
403,11,9000000,-0.001496403,-1.862645149,-0.094004804,-1.862645149
404,11,10000000,-0.001553957,0,-0.100201447,1.862645149
405,11,15000000,-0.001585931,-1.862645149,-0.116438059,-3.725290298
406,11,20000000,-0.00140048,-3.725290298,-0.119008803,-3.725290298
407,11,25000000,-0.001221423,0,-0.116054366,-7.450580597
408,11,30000000,-0.001035971,-7.450580597,-0.110983223,-3.725290298
409,11,35000000,-0.000895284,0,-0.105272591,-7.450580597
410,11,40000000,-0.000767386,0,-0.099568354,7.450580597
411,11,50000000,-0.000569145,-7.450580597,-0.089042373,0
412,11,75000000,-0.000326139,0,-0.069205441,14.90116119
413,11,100000000,-0.000204636,14.90116119,-0.056159877,0
414,11,200000000,-6.39488E-05,0,-0.031718628,0
415,11,300000000,-3.83693E-05,-59.60464478,-0.022030378,0
416,11,350000000,-3.83693E-05,59.60464478,-0.01911431,0
417,11,400000000,-1.27898E-05,59.60464478,-0.016882495,59.60464478
418,11,500000000,-6.39488E-06,-59.60464478,-0.013672263,0
419,11,750000000,1.27898E-05,0,-0.009278978,-119.2092896
420,11,1000000000,0,119.2092896,-0.007008794,119.2092896
421,12,100,-0.008607515,-1.285826556,0,0.128750344
422,12,500,0.032012792,2.3506459,-1.91847E-05,1.125044946
423,12,1000,-0.016569146,-0.14415491,0,-1.129251359
424,12,10000,0.00307594,1.580701792,-1.91847E-05,0.442014425
425,12,50000,-0.000134293,-0.007275958,6.39488E-06,-1.033185981
426,12,100000,0.000140687,-0.94587449,0,0.698491931
427,12,200000,-4.47642E-05,2.764863893,-5.7554E-05,0.116415322
428,12,300000,-1.27898E-05,0,-0.000121503,0.465661287
429,12,400000,-2.55795E-05,1.688022166,-0.000268585,1.338776201
430,12,500000,4.47642E-05,0.931322575,-0.000498801,-0.64028427
431,12,750000,-3.19744E-05,0.698491931,-0.001464429,1.746229827
432,12,1000000,-1.91847E-05,-1.28056854,-0.003011991,0.116415322
433,12,2500000,-0.000390088,0,-0.022311752,0.931322575
434,12,5000000,-0.001336531,0,-0.066059158,0.931322575
435,12,6000000,-0.001656275,-0.931322575,-0.08147083,0.931322575
436,12,7000000,-0.001918465,-0.931322575,-0.094778585,0
437,12,8000000,-0.002129497,1.862645149,-0.106001607,0
438,12,9000000,-0.002270184,0,-0.11529977,-1.862645149
439,12,10000000,-0.002378897,0,-0.122928867,1.862645149
440,12,15000000,-0.002423661,-1.862645149,-0.142816958,3.725290298
441,12,20000000,-0.002161471,0,-0.145976031,0
442,12,25000000,-0.001867306,3.725290298,-0.142337342,3.725290298
443,12,30000000,-0.001598721,-3.725290298,-0.136127909,3.725290298
444,12,35000000,-0.00136211,0,-0.129112721,7.450580597
445,12,40000000,-0.001151079,0,-0.122110322,-7.450580597
446,12,50000000,-0.000895284,-7.450580597,-0.10921184,7.450580597
447,12,75000000,-0.000479616,14.90116119,-0.084866514,0
448,12,100000000,-0.000313349,0,-0.068885697,0
449,12,200000000,-0.000102318,0,-0.038912873,29.80232239
450,12,300000000,-5.11591E-05,119.2092896,-0.027031177,-59.60464478
451,12,350000000,-4.47642E-05,0,-0.023462832,0
452,12,400000000,-1.91847E-05,0,-0.020706636,0
453,12,500000000,-2.55795E-05,0,-0.016754598,0
454,12,750000000,-1.91847E-05,0,-0.01138929,119.2092896
455,12,1000000000,-6.39488E-06,0,-0.00860112,-238.4185791
456,13,100,-0.107427667,-0.357204044,-6.39488E-06,-0.447826665
457,13,500,-0.021218227,-1.6812578,6.39488E-06,-0.182012627
458,13,1000,-0.003127099,1.436546881,-1.27898E-05,0.113345777
459,13,10000,0.000345324,0.072759576,-1.27898E-05,0.498403097
460,13,50000,0.000345324,1.105945557,-6.39488E-06,-0.465661287
461,13,100000,0.000172662,-1.61526259,1.27898E-05,-1.295120455
462,13,200000,8.31335E-05,-1.222360879,-4.47642E-05,-1.193257049
463,13,300000,-1.91847E-05,-0.931322575,-0.000140687,0.407453626
464,13,400000,-6.39488E-06,-2.619344741,-0.000338929,1.047737896
465,13,500000,-6.39488E-06,-0.349245965,-0.000588329,-1.164153218
466,13,750000,-3.19744E-05,0.349245965,-0.001745804,0.931322575
467,13,1000000,-5.11591E-05,-0.814907253,-0.003581135,0.582076609
468,13,2500000,-0.00053717,-3.259629011,-0.026596325,0
469,13,5000000,-0.00193765,-0.931322575,-0.078791373,0
470,13,6000000,-0.002417266,0.931322575,-0.097183062,1.862645149
471,13,7000000,-0.00278817,0.931322575,-0.11306156,2.793967724
472,13,8000000,-0.003088729,0,-0.126458843,-0.931322575
473,13,9000000,-0.00331255,0,-0.137566758,0
474,13,10000000,-0.003466027,0,-0.146621915,0
475,13,15000000,-0.003523581,-5.587935448,-0.170346937,-3.725290298
476,13,20000000,-0.003159073,0,-0.174119918,0
477,13,25000000,-0.002724221,0,-0.169784187,0
478,13,30000000,-0.002308553,0,-0.162385305,3.725290298
479,13,35000000,-0.002001599,7.450580597,-0.153988822,0
480,13,40000000,-0.001720224,-7.450580597,-0.145630707,-7.450580597
481,13,50000000,-0.001298162,-14.90116119,-0.13022543,-7.450580597
482,13,75000000,-0.000729017,14.90116119,-0.101231024,14.90116119
483,13,100000000,-0.000466827,-14.90116119,-0.082167873,0
484,13,200000000,-0.000147082,0,-0.046401283,-29.80232239
485,13,300000000,-7.67386E-05,59.60464478,-0.032230218,0
486,13,350000000,-5.11591E-05,-59.60464478,-0.02796483,0
487,13,400000000,-3.83693E-05,-59.60464478,-0.02467786,-119.2092896
488,13,500000000,-5.11591E-05,59.60464478,-0.020003199,0
489,13,750000000,0,0,-0.013544366,0
490,13,1000000000,-1.27898E-05,119.2092896,-0.010270185,119.2092896
491,14,100,-0.023354119,-0.072276407,1.91847E-05,-1.808416528
492,14,500,0.001381295,-0.47401727,0,-0.410409484
493,14,1000,0.008249401,0.971681402,6.39488E-06,0.616978468
494,14,10000,-0.001215028,1.924490789,1.91847E-05,1.040461939
495,14,50000,-0.000121503,-1.666194294,1.91847E-05,-0.320142135
496,14,100000,0.000198241,-1.266016625,-1.91847E-05,-0.33469405
497,14,200000,3.83693E-05,0.436557457,-3.19744E-05,-0.902218744
498,14,300000,0,1.047737896,-0.000159872,1.455191523
499,14,400000,3.19744E-05,1.746229827,-0.000364508,-0.291038305
500,14,500000,1.27898E-05,0.291038305,-0.000690648,0.873114914
501,14,750000,-1.91847E-05,0,-0.002027178,1.746229827
502,14,1000000,-6.39488E-05,-0.465661287,-0.00416307,-0.582076609
503,14,2500000,-0.000729017,-2.328306437,-0.030951242,-0.465661287
504,14,5000000,-0.002724221,0,-0.091638697,0
505,14,6000000,-0.003402079,-1.862645149,-0.113004006,-1.862645149
506,14,7000000,-0.003977618,0,-0.131466038,-0.931322575
507,14,8000000,-0.004393286,-1.862645149,-0.147050372,-0.931322575
508,14,9000000,-0.004681056,1.862645149,-0.159961644,0
509,14,10000000,-0.004898482,-1.862645149,-0.170506809,0
510,14,15000000,-0.004994405,0,-0.198107131,1.862645149
511,14,20000000,-0.004470024,3.725290298,-0.202462047,0
512,14,25000000,-0.003856115,0,-0.197448458,0
513,14,30000000,-0.003280576,-3.725290298,-0.188802574,0
514,14,35000000,-0.002813749,-7.450580597,-0.179088744,0
515,14,40000000,-0.002417266,0,-0.169349335,0
516,14,50000000,-0.001835332,0,-0.151443658,0
517,14,75000000,-0.001023182,14.90116119,-0.117704246,14.90116119
518,14,100000000,-0.000633094,0,-0.095533181,0
519,14,200000000,-0.000198241,29.80232239,-0.053940852,0
520,14,300000000,-7.03437E-05,0,-0.037467629,59.60464478
521,14,350000000,-6.39488E-05,-59.60464478,-0.032492409,0
522,14,400000000,-5.11591E-05,-59.60464478,-0.028693847,0
523,14,500000000,-1.91847E-05,-59.60464478,-0.023245406,-59.60464478
524,14,750000000,-6.39488E-06,0,-0.015756996,0
525,14,1000000000,0,0,-0.011920065,0
526,15,100,0.065016792,-1.753164725,-6.39488E-06,-0.586780402
527,15,500,-0.008134293,-3.066929821,6.39488E-06,-1.749356215
528,15,1000,-0.000217426,-2.234401109,6.39488E-06,-1.560579221
529,15,10000,1.91847E-05,-0.327418093,-6.39488E-06,-0.807631295
530,15,50000,0.000230216,-0.560248736,-2.55795E-05,-0.938598532
531,15,100000,7.67386E-05,-0.058207661,-6.39488E-06,-1.833541319
532,15,200000,-5.7554E-05,-2.182787284,-5.11591E-05,-1.484295353
533,15,300000,-3.19744E-05,-1.455191523,-0.000185452,-1.338776201
534,15,400000,-3.19744E-05,-0.523868948,-0.000428457,-0.465661287
535,15,500000,6.39488E-06,-0.698491931,-0.000792966,1.105945557
536,15,750000,-7.03437E-05,-0.582076609,-0.002289369,0.116415322
537,15,1000000,-7.67386E-05,-0.349245965,-0.004719425,-1.164153218
538,15,2500000,-0.001061551,-0.931322575,-0.035146286,-0.931322575
539,15,5000000,-0.003753797,0,-0.104051168,-1.862645149
540,15,6000000,-0.004719425,-1.862645149,-0.12832615,-2.793967724
541,15,7000000,-0.005448442,-0.931322575,-0.149301371,-3.725290298
542,15,8000000,-0.006055956,0.931322575,-0.167015202,0
543,15,9000000,-0.006478018,3.725290298,-0.181672277,1.862645149
544,15,10000000,-0.006746603,0,-0.193637106,0
545,15,15000000,-0.006887291,-3.725290298,-0.224946461,-1.862645149
546,15,20000000,-0.006183853,7.450580597,-0.229908892,0
547,15,25000000,-0.005307754,-3.725290298,-0.224191865,0
548,15,30000000,-0.004546763,-3.725290298,-0.214394902,-3.725290298
549,15,35000000,-0.00388809,7.450580597,-0.203363726,0
550,15,40000000,-0.00332534,-7.450580597,-0.192313365,7.450580597
551,15,50000000,-0.002525979,7.450580597,-0.171958447,14.90116119
552,15,75000000,-0.001445244,14.90116119,-0.133672273,14.90116119
553,15,100000000,-0.000895284,0,-0.108482823,14.90116119
554,15,200000000,-0.00027498,29.80232239,-0.061250205,-29.80232239
555,15,300000000,-0.000121503,0,-0.042557957,0
556,15,350000000,-8.95284E-05,0,-0.036898484,-59.60464478
557,15,400000000,-7.67386E-05,0,-0.032581937,-119.2092896
558,15,500000000,-3.19744E-05,59.60464478,-0.026391689,59.60464478
559,15,750000000,-2.55795E-05,0,-0.017899282,119.2092896
560,15,1000000000,-2.55795E-05,-119.2092896,-0.013525181,0
561,16,100,0.062874506,-0.792795163,-6.39488E-06,-0.71942452
562,16,500,-0.015840129,-3.068635124,0,-0.355100838
563,16,1000,-0.011561951,-0.124146027,0,0.067984729
564,16,10000,-0.001093525,0.551153789,1.27898E-05,-0.642103259
565,16,50000,-0.00027498,-0.130967237,-6.39488E-06,-0.858562998
566,16,100000,-9.59233E-05,-1.411535777,-6.39488E-06,-0.669388101
567,16,200000,0,-0.727595761,-8.95284E-05,-1.164153218
568,16,300000,-5.11591E-05,-0.232830644,-0.000217426,-0.291038305
569,16,400000,-6.39488E-06,-0.465661287,-0.000479616,-0.058207661
570,16,500000,-7.03437E-05,-1.92085281,-0.000869704,-0.174622983
571,16,750000,-2.55795E-05,-1.746229827,-0.002538769,-0.465661287
572,16,1000000,-0.000108713,0,-0.005243805,-1.396983862
573,16,2500000,-0.001419664,0,-0.039015191,1.862645149
574,16,5000000,-0.005064749,4.656612873,-0.115523591,1.862645149
575,16,6000000,-0.006324541,3.725290298,-0.14243966,-1.862645149
576,16,7000000,-0.007360512,0,-0.16570425,0
577,16,8000000,-0.008140688,-0.931322575,-0.185317361,0.931322575
578,16,9000000,-0.008690648,-1.862645149,-0.201598738,0
579,16,10000000,-0.009061552,-1.862645149,-0.214874518,1.862645149
580,16,15000000,-0.009259793,1.862645149,-0.249624321,0
581,16,20000000,-0.00828777,3.725290298,-0.255130317,0
582,16,25000000,-0.007123901,-3.725290298,-0.248792986,0
583,16,30000000,-0.006094325,-3.725290298,-0.237902498,-7.450580597
584,16,35000000,-0.005218226,0,-0.225630714,0
585,16,40000000,-0.004527578,0,-0.213416484,0
586,16,50000000,-0.003389289,0,-0.190823357,7.450580597
587,16,75000000,-0.001899281,14.90116119,-0.148310164,14.90116119
588,16,100000000,-0.001227818,14.90116119,-0.120377308,14.90116119
589,16,200000000,-0.000358114,0,-0.067964834,29.80232239
590,16,300000000,-0.000172662,0,-0.047219828,0
591,16,350000000,-0.000134293,0,-0.040952841,0
592,16,400000000,-0.000102318,119.2092896,-0.036156678,0
593,16,500000000,-6.39488E-05,-59.60464478,-0.029288572,0
594,16,750000000,-3.19744E-05,0,-0.019875301,119.2092896
595,16,1000000000,-1.27898E-05,-238.4185791,-0.015008794,0
596,17,100,0.176767401,-1.705302566,-2.55795E-05,-0.063039352
597,17,500,0.031373304,0.237889708,-2.55795E-05,-0.35214498
598,17,1000,0.017521984,-0.551040102,-2.55795E-05,0.839236236
599,17,10000,0.000486011,1.748048817,-2.55795E-05,0.492946128
600,17,50000,0.000204636,-1.185981091,-2.55795E-05,-0.094587449
601,17,100000,-0.000447642,2.430169843,-2.55795E-05,1.105945557
602,17,200000,-0.000179057,-0.989530236,-3.83693E-05,-0.320142135
603,17,300000,-6.39488E-05,-0.465661287,-0.000230216,-1.222360879
604,17,400000,2.55795E-05,-1.862645149,-0.000511591,-0.232830644
605,17,500000,-3.83693E-05,-0.349245965,-0.000933653,-1.164153218
606,17,750000,-8.95284E-05,0.349245965,-0.00276259,1.629814506
607,17,1000000,-0.000140687,0.232830644,-0.005691447,1.396983862
608,17,2500000,-0.001867306,0,-0.042308557,-0.931322575
609,17,5000000,-0.00667626,1.862645149,-0.125301369,-0.931322575
610,17,6000000,-0.00832614,1.862645149,-0.154513202,-1.862645149
611,17,7000000,-0.009669066,0.931322575,-0.179747417,1.862645149
612,17,8000000,-0.010717827,0.931322575,-0.201042383,1.862645149
613,17,9000000,-0.011459633,1.862645149,-0.218692264,0
614,17,10000000,-0.011932855,-1.862645149,-0.233080755,3.725290298
615,17,15000000,-0.01221423,3.725290298,-0.270759415,3.725290298
616,17,20000000,-0.010922463,-3.725290298,-0.276719447,0
617,17,25000000,-0.00941327,3.725290298,-0.269825762,-3.725290298
618,17,30000000,-0.008044765,0,-0.258020805,11.1758709
619,17,35000000,-0.006855316,-7.450580597,-0.244732234,7.450580597
620,17,40000000,-0.005908873,0,-0.231418085,0
621,17,50000000,-0.00445084,0,-0.206951256,7.450580597
622,17,75000000,-0.002494005,29.80232239,-0.160856928,0
623,17,100000000,-0.001598721,0,-0.130545175,0
624,17,200000000,-0.000473221,59.60464478,-0.07372023,59.60464478
625,17,300000000,-0.000230216,59.60464478,-0.051210236,59.60464478
626,17,350000000,-0.000179057,0,-0.044406079,59.60464478
627,17,400000000,-0.000140687,0,-0.039226222,59.60464478
628,17,500000000,-8.95284E-05,119.2092896,-0.031769787,119.2092896
